ID,Price
112,517511.8547361645
1611,5821994.92586977
1275,778506.6849520243
297,273541.5178381573
1957,206147.36194039948
528,504863.8039918502
1393,755853.2080451995
1657,300294.8065297922
1018,1352457.1609762672
932,526597.1840341527
1792,742402.20155661
1781,679642.303730338
69,2371761.2919300874
864,235020.73839045872
1761,527472.0166565204
1649,434249.74444096343
917,1872060.1320469554
1920,276884.9035103095
755,344436.26252846833
83,399189.8489965944
1029,5511548.512841498
1950,6250517.011131079
506,525595.6093823487
907,1289990.2630259863
1060,426020.3473842016
1080,428980.9651150439
382,568825.5319271167
1141,1928480.7070029024
560,362358.9283442867
1428,422512.1517058419
3,5619945.829793753
269,1126672.3843942012
1338,563484.4557856228
1932,549274.2759885363
1473,2940351.1508913133
154,845362.8056414415
1273,5735042.347612619
460,5617260.209988291
493,3481374.9887082903
1502,2205621.2749206955
194,748558.1662339325
85,514809.1369213261
1535,240578.24416475164
1049,428419.13057744765
1095,1872533.4291600082
1017,902887.4627753128
604,4605904.011640392
31,1792516.9227245606
1186,1189080.7430359307
942,538819.8266314139
1328,671359.0471126928
1508,1909067.7593668983
323,348349.5297793619
1403,1013468.1565052767
168,749218.7978773793
140,808522.3447270073
1225,1501490.8929733513
872,339136.022820971
504,5384881.276669251
313,836169.8671786527
1523,5919501.606346089
1269,574860.4405270483
622,500069.3698140579
1637,516014.6840283949
1500,349823.11170122674
1023,4568631.761773832
1840,6157086.755363354
726,4688239.240204252
499,4369730.865523237
1150,343263.358152651
678,5359020.854850117
81,3194598.936506963
1211,778146.6325548915
1231,3044413.5548206056
446,533857.1987656285
335,1628383.9806186173
723,1436102.967453096
1386,423355.90112029295
585,500828.7682786195
1165,430075.34473931463
58,1673404.9007075394
1767,5956598.985902866
586,2777493.5355256163
1982,911913.7459077548
358,464719.02919806674
222,544977.7209327173
1876,3974276.2381334696
484,281685.3812545182
906,594550.0525408528
664,5783235.711971405
1479,845289.5332462935
210,513847.77924638055
1949,763296.6542549252
1945,3569841.0208671074
999,2286826.9015091797
572,535373.229600242
170,657627.9398714242
752,484415.52486418944
1337,6104315.402243292
760,705087.6372791207
679,898405.301276796
603,1662066.8507178228
505,622916.7831569437
103,716442.001478943
1487,483982.90440609236
1251,500353.5895150138
1486,394628.5878743294
727,969911.9440728519
284,231365.90363359058
768,509825.9824215284
198,5864109.710853046
810,1172285.0972658654
1547,2583605.209447808
994,4712865.144738885
905,1577713.2570361306
27,2030247.1864179554
1872,241974.65028893732
574,630493.0207501769
1541,1647349.6248406002
908,1221784.373464856
70,1009687.6093982998
1716,378702.08102841844
1131,689756.2149524889
930,257101.9954909727
800,7009952.775186343
166,2088091.588220107
61,483432.9875876522
1399,377211.9584610014
943,1356942.6389158373
847,1861543.7580642626
883,1097702.5736206844
1572,6798137.743005885
65,356436.49338603375
748,622416.5122893995
1647,1075897.4017033959
1470,3369254.602043872
1133,3247011.887681858
717,244554.86871434603
1253,1078565.8574329251
1527,1177355.7513925966
642,1671752.4790350022
1167,2040459.7842064085
1661,2253057.033325586
1234,2305274.353720554
1813,1839281.3168817593
600,1008830.0030794407
920,221830.38149937324
621,8416539.265055109
1504,1454261.0668936973
1190,4141299.9035511455
229,2256246.0675930353
204,414943.26976569556
1983,3160577.646917741
640,623546.1779653049
239,303040.65778970666
1636,2869439.613687713
146,477405.48150488565
16,574721.3205032483
890,848908.7289046695
462,717542.0906635585
1449,2341004.840334493
1733,275620.6424724739
870,9633207.505093167
1598,382687.0230182062
59,579845.9384943763
1471,980095.7611310976
900,1454921.7835426058
305,5701468.352623817
1803,530478.0237076755
1140,610221.8118281227
398,705228.5817350345
693,746963.4389951517
1584,664491.8446335475
1954,450617.6522252853
627,749383.6734821831
1780,433695.02760023595
288,816338.7894185445
1374,1224680.4893203638
1219,733117.7161974106
860,256413.55799369424
700,1625005.5689711103
426,1755849.101359106
1565,447800.0469801479
1312,443369.4061169903
809,447017.09853574383
1081,955346.3756676184
862,743637.1572628386
710,861250.6969553028
25,259455.90463012626
1513,924760.366209767
1043,599394.0535770482
639,2742839.3478333973
888,431185.3619805444
263,1851626.9206659077
753,789300.8344173057
1652,1511895.5621148527
936,2181052.742170573
265,306478.00383827405
1908,4015377.846667795
4,6336679.5317000095
1886,692140.5786238424
1814,333749.9013882854
694,1052487.3136155643
1249,1076678.2381755752
1178,797874.1410208206
101,630563.4497047261
180,744602.0676756212
1429,923138.8903815658
498,436428.33270648296
1613,897587.218277933
1282,314674.9856141655
1775,7334772.919380238
1268,1216338.2832674682
624,828710.2275724583
378,3727905.70523927
832,1450750.401519255
1064,987768.5385249648
481,1329101.3384597078
147,543691.7729695453
1339,495387.758992758
1635,2094929.5114952766
365,3362048.6904211226
1104,283879.3596866783
144,1893622.0694319645
86,3383213.089280931
571,5074980.618529939
73,370061.529273126
985,773229.4737965972
878,379954.0176295449
1334,439872.7778709068
1799,729374.3178017555
1763,1169401.4453842214
1398,320696.22874610714
630,719998.0985675423
1402,5992995.340053888
1948,499539.6733060463
211,2229966.9919203017
1742,515579.9422202493
568,614095.5985812822
28,1622465.601803688
264,229247.55583260173
320,742115.0530570989
1824,382442.22336834436
655,503770.1128695395
539,6626725.577914882
342,583393.5728145328
1143,3065925.8802629514
1576,2053187.0433196262
677,638431.1226847924
765,4572383.639815778
1447,524272.4470787334
193,3007056.2922090567
924,5209833.727443927
711,6703957.793451778
1040,439632.4702149216
1782,443200.02343782206
1593,3947820.7633775882
1610,822992.2158642843
825,921707.5035028652
1561,1313316.2977663146
221,4429184.34671124
293,1062527.5747306682
199,309060.0711674459
1372,577266.0735340328
868,477969.1342376188
1027,478103.1419934893
584,2177453.185250835
1727,2628646.557503151
1015,489335.40093806834
815,1379670.0034340392
1217,364971.1635892708
880,818720.3242657277
1074,646453.227495498
814,222539.9871965167
287,708977.1936397834
911,4511692.103713427
1914,1113409.0827895738
157,1721745.859751913
1745,282784.79905024247
209,695307.6060278679
1668,369667.95225178613
1930,494674.7906261851
208,4190298.1923861243
609,668182.7181937743
1664,799344.2187274604
1965,293775.67001584684
851,673422.9450570354
1918,652422.3055107852
1519,554957.1739964825
563,2181809.5054534874
1286,1582833.6344860175
1349,812378.2827347451
422,793915.457838779
1560,309682.43367791065
385,3241885.0861043963
1747,3609424.7820573514
181,341402.2540269054
